SALESORDERID,SALESORDERITEM,PRODUCTID,QUANTITY,QUANTITYUNIT
200000626,30,MZ-FG-R200,6,EA
200000626,40,MZ-FG-E108,3,EA
200000626,50,FG226,8,EA
200000626,60,MZ-TG-A26,8,EA
200000627,10,MZ-FG-M550,7,EA
200000627,20,MZ-FG-C21,2,EA
200000627,30,MZ-FG-E16,9,EA
200000628,10,MZ-FG-C900,8,EA
200000628,20,MZ-TG-Y240,5,EA
200000628,30,MZ-TG-A20,1,EA
200000628,40,MZ-TG-Y240,4,EA
200000628,50,MZ-FG-E101,5,EA
200000629,10,MZ-FG-C990,9,EA
200000630,10,MZ-FG-C950,9,EA
200000630,20,MZ-FG-E102,2,EA
200000630,30,MZ-FG-C10,8,EA
200000630,40,TG11,2,EA
200000630,50,MZ-FG-C900,6,EA
200000631,10,M1,7,EA
200000631,20,MZ-FG-C21,2,EA
200000632,10,MZ-FG-E16,3,EA
200000632,20,MZ-TG-A26,1,EA
200000632,30,MZ-FG-R200,6,EA
200000632,40,MZ-FG-P010,1,EA
200000632,50,MZ-FG-P010,9,EA
200000632,60,TG11,6,EA
200000633,10,MZ-FG-E103,5,EA
200000633,20,TG11,8,EA
200000633,30,MZ-TG-E202,3,EA
200000633,40,MZ-FG-C950,7,EA
200000634,10,MZ-TG-SR01,2,EA
200000634,20,FG226,7,EA
200000635,10,MZ-TG-E202,9,EA
200000635,20,MZ-TG-A20,1,EA
200000635,30,MZ-FG-C10,8,EA
200000635,40,MZ-TG-A20,9,EA
200000635,50,MZ-TG-Y120,10,EA
200000636,10,MZ-TG-Y240,7,EA
200000636,20,MZ-FG-C950,9,EA
200000636,30,MZ-TG-A20,4,EA
200000636,40,M-01,1,EA
200000636,50,MZ-FG-R100,6,EA
200000637,10,MZ-FG-R200,7,EA
200000637,20,MZ-FG-C950,2,EA
200000637,30,MZ-TG-Y120,6,EA
200000637,40,MZ-FG-M525,10,EA
200000637,50,MZ-TG-Y240,7,EA
200000637,60,MZ-FG-E108,5,EA
200000638,10,MZ-TG-A25,10,EA
200000638,20,MZ-FG-E17,7,EA
200000639,10,M1,10,EA
200000639,20,MZ-FG-M525,4,EA
200000639,30,CM-FL-V00,8,EA
200000639,40,MZ-TG-A25,6,EA
200000639,50,MZ-FG-E17,2,EA
200000640,10,MZ-TG-Y200,5,EA
200000640,20,MZ-TG-SR01,1,EA
200000640,30,MZ-FG-P010,8,EA
200000640,40,MZ-FG-E108,4,EA
200000640,50,MZ-TG-A26,2,EA
200000640,60,MZ-FG-C950,2,EA
200000641,10,MZ-FG-C21,1,EA
200000641,20,MZ-TG-E202,2,EA
200000641,30,MZ-FG-P010,3,EA
200000641,40,MZ-TG-A20,3,EA
200000641,50,MZ-FG-E103,9,EA
200000641,60,MZ-TG-A27,4,EA
200000642,10,MZ-FG-E102,5,EA
200000642,20,MZ-FG-M525,5,EA
200000642,30,MZ-FG-R200,2,EA
200000642,40,M1,7,EA
200000642,50,MZ-FG-R100,7,EA
200000642,60,MZ-FG-C990,7,EA
200000643,10,MZ-FG-M550,1,EA
200000643,20,MZ-FG-C950,7,EA
200000643,30,MZ-TG-A20,10,EA
200000643,40,MZ-TG-A25,10,EA
200000643,50,M-01,8,EA
200000643,60,MZ-FG-E17,6,EA
200000644,10,MZ-FG-E108,8,EA
200000644,20,CM-FL-V00,7,EA
200000644,30,MZ-FG-E103,3,EA
200000645,10,MZ-TG-A26,5,EA
200000645,20,MZ-FG-R300,4,EA
200000646,10,MZ-FG-E103,6,EA
200000646,20,MZ-FG-E101,5,EA
200000646,30,MZ-FG-C20,9,EA
200000646,40,MZ-FG-E103,3,EA
200000647,10,MZ-FG-M550,8,EA
200000647,20,FG226,6,EA
200000647,30,MZ-TG-SR01,1,EA
200000647,40,MZ-TG-A20,6,EA
200000647,50,MZ-TG-A26,2,EA
200000647,60,MZ-FG-R100,9,EA
200000648,10,MZ-TG-Y120,7,EA
200000649,10,MZ-FG-E102,1,EA
200000650,10,MZ-FG-M500,3,EA
200000651,10,MZ-FG-M525,6,EA
200000651,20,MZ-FG-E15,7,EA
200000651,30,MZ-FG-C990,4,EA
200000651,40,TG11,5,EA
200000651,50,MZ-TG-Y120,4,EA
200000652,10,M1,8,EA
200000652,20,MZ-FG-E108,5,EA
200000652,30,MZ-TG-A20,2,EA
200000652,40,FG226,8,EA
200000652,50,TG11,3,EA
200000653,10,MZ-FG-C21,10,EA
200000653,20,MZ-FG-C21,1,EA
200000653,30,MZ-FG-E102,7,EA
200000654,10,MZ-TG-Y200,4,EA
200000654,20,MZ-FG-R200,5,EA
200000654,30,MZ-FG-R200,5,EA
200000654,40,MZ-FG-E15,2,EA
200000654,50,MZ-FG-M500,10,EA
200000654,60,MZ-TG-A20,8,EA
200000655,10,MZ-FG-C21,10,EA
200000656,10,MZ-FG-M525,2,EA
200000657,10,MZ-FG-C10,7,EA
200000657,20,MZ-FG-R300,9,EA
200000657,30,MZ-FG-E102,4,EA
200000657,40,MZ-TG-SR01,2,EA
200000657,50,MZ-FG-R100,1,EA
200000658,10,MZ-FG-R300,4,EA
200000658,20,FG226,3,EA
200000658,30,MZ-TG-A20,2,EA
200000658,40,MZ-FG-E103,6,EA
200000658,50,MZ-FG-M500,6,EA
200000659,10,TG11,5,EA
200000659,20,MZ-TG-E202,4,EA
200000660,10,MZ-FG-E16,4,EA
200000660,20,MZ-FG-R200,7,EA
200000660,30,MZ-FG-P010,4,EA
200000660,40,MZ-FG-C20,4,EA
200000660,50,MZ-TG-A27,8,EA
200000660,60,MZ-FG-C10,1,EA
200000661,10,MZ-TG-Y200,9,EA
200000662,10,MZ-FG-C21,7,EA
200000662,20,MZ-FG-E16,6,EA
200000662,30,MZ-FG-C20,10,EA
200000662,40,MZ-FG-M525,7,EA
200000663,10,MZ-FG-R100,2,EA
200000664,10,CM-FL-V00,9,EA
200000664,20,MZ-FG-M525,10,EA
200000665,10,MZ-FG-C990,8,EA
200000665,20,MZ-FG-M500,4,EA
200000665,30,MZ-TG-SR01,3,EA
200000665,40,MZ-FG-E102,3,EA
200000666,10,MZ-FG-E16,6,EA
200000666,20,MZ-TG-A27,2,EA
200000667,10,MZ-FG-C10,7,EA
200000668,10,MZ-FG-P010,4,EA
200000668,20,MZ-TG-A27,7,EA
200000668,30,MZ-FG-E103,5,EA
200000669,10,MZ-FG-M550,8,EA
200000669,20,MZ-FG-C10,10,EA
200000670,10,MZ-FG-P010,9,EA
200000670,20,MZ-FG-C900,5,EA
200000670,30,MZ-FG-E15,1,EA
200000671,10,MZ-FG-M525,8,EA
200000671,20,MZ-FG-C20,1,EA
200000671,30,MZ-FG-R100,6,EA
200000672,10,M1,2,EA
200000672,20,MZ-FG-E102,3,EA
200000672,30,MZ-TG-A20,5,EA
200000672,40,MZ-TG-A20,4,EA
200000672,50,MZ-TG-Y240,7,EA
200000673,10,MZ-FG-E16,2,EA
200000674,10,MZ-TG-Y200,7,EA
200000674,20,MZ-FG-M525,8,EA
200000674,30,MZ-FG-R200,6,EA
200000674,40,M-01,2,EA
200000674,50,TG11,5,EA
200000674,60,MZ-FG-R300,7,EA
200000675,10,MZ-FG-C20,1,EA
200000675,20,MZ-FG-E17,9,EA
200000675,30,MZ-FG-E15,4,EA
200000676,10,MZ-FG-R300,10,EA
200000676,20,MZ-FG-M500,4,EA
200000676,30,MZ-TG-A20,3,EA
200000676,40,M1,2,EA
200000676,50,MZ-TG-A25,1,EA
200000677,10,MZ-TG-A25,8,EA
200000677,20,MZ-FG-C990,7,EA
200000678,10,MZ-FG-E17,9,EA
200000679,10,MZ-FG-R300,1,EA
200000679,20,MZ-TG-Y240,5,EA
200000680,10,MZ-FG-C900,2,EA
200000680,20,MZ-FG-C900,10,EA
200000680,30,MZ-FG-C10,10,EA
200000680,40,MZ-FG-M525,3,EA
200000680,50,MZ-FG-R100,4,EA
200000681,10,MZ-FG-C990,1,EA
200000681,20,MZ-FG-C900,9,EA
200000682,10,M1,8,EA
200000682,20,M-01,6,EA
200000682,30,MZ-FG-C20,4,EA
200000682,40,MZ-FG-M525,8,EA
200000683,10,MZ-FG-E17,3,EA
200000684,10,MZ-TG-Y200,5,EA
200000685,10,M1,4,EA
200000685,20,MZ-TG-A25,5,EA
200000686,10,M-01,5,EA
200000686,20,MZ-FG-E102,7,EA
200000687,10,MZ-FG-C21,9,EA
200000687,20,MZ-TG-A25,3,EA
200000687,30,MZ-FG-E102,7,EA
200000687,40,MZ-FG-E102,2,EA
200000688,10,MZ-FG-C10,1,EA
200000688,20,MZ-FG-E108,1,EA
200000689,10,MZ-FG-C21,7,EA
200000689,20,MZ-FG-E108,3,EA
200000689,30,MZ-FG-E101,5,EA
200000689,40,MZ-FG-M550,6,EA
200000689,50,MZ-FG-R100,6,EA
200000689,60,MZ-FG-M550,5,EA
200000690,10,M-01,2,EA
200000690,20,MZ-FG-M500,8,EA
200000691,10,MZ-FG-E15,4,EA
200000691,20,FG226,9,EA
200000691,30,MZ-FG-R300,2,EA
200000692,10,MZ-FG-C950,9,EA
200000693,10,MZ-TG-A25,10,EA
200000693,20,MZ-FG-P010,7,EA
200000694,10,MZ-FG-C20,2,EA
200000694,20,FG226,5,EA
200000694,30,MZ-TG-A20,4,EA
200000694,40,MZ-FG-E101,9,EA
200000694,50,CM-FL-V00,6,EA
200000695,10,M1,4,EA
200000696,10,MZ-FG-R300,10,EA
200000696,20,MZ-TG-A20,2,EA
200000697,10,MZ-FG-E17,2,EA
200000697,20,MZ-TG-SR01,6,EA
200000697,30,MZ-FG-E108,2,EA
200000697,40,MZ-TG-A25,3,EA
200000698,10,MZ-TG-E202,8,EA
200000698,20,MZ-FG-M550,9,EA
200000698,30,MZ-TG-A20,5,EA
200000698,40,MZ-FG-E103,5,EA
200000698,50,M-01,6,EA
200000699,10,MZ-FG-E15,6,EA
200000700,10,MZ-FG-M550,10,EA
200000700,20,MZ-FG-R200,10,EA
200000700,30,MZ-FG-P010,3,EA
200000700,40,MZ-TG-SR01,2,EA
200000700,50,MZ-FG-C20,7,EA
200000700,60,MZ-TG-A27,4,EA
200000701,10,CM-FL-V00,5,EA
200000702,10,MZ-TG-SR01,1,EA
200000702,20,MZ-FG-E16,5,EA
200000702,30,MZ-FG-R200,4,EA
200000702,40,MZ-FG-C10,1,EA
200000702,50,M-01,4,EA
200000702,60,M-01,6,EA
200000703,10,MZ-FG-P010,7,EA
200000704,10,MZ-FG-R300,8,EA
200000704,20,MZ-FG-R300,8,EA
200000704,30,MZ-TG-A20,5,EA
200000704,40,CM-FL-V00,10,EA
200000704,50,MZ-TG-SR01,9,EA
200000705,10,MZ-TG-Y120,1,EA
200000705,20,MZ-FG-C950,3,EA
200000705,30,MZ-FG-E15,4,EA
200000706,10,CM-FL-V00,1,EA
200000706,20,MZ-FG-C20,6,EA
200000706,30,MZ-TG-A20,8,EA
200000706,40,MZ-FG-E103,9,EA
200000706,50,FG226,6,EA
200000707,10,TG11,8,EA
200000707,20,M-01,10,EA
200000708,10,MZ-FG-M525,8,EA
200000708,20,MZ-FG-P010,5,EA
200000708,30,MZ-TG-A20,6,EA
200000708,40,MZ-TG-Y120,9,EA
200000708,50,M-01,5,EA
200000709,10,MZ-FG-E103,4,EA
200000709,20,M-01,3,EA
200000710,10,MZ-TG-SR01,10,EA
200000710,20,MZ-TG-A26,2,EA
200000710,30,MZ-FG-P010,4,EA
200000710,40,MZ-FG-C10,3,EA
200000710,50,MZ-TG-E202,4,EA
200000710,60,MZ-FG-E103,6,EA
200000711,10,MZ-FG-E16,7,EA
200000711,20,MZ-FG-M525,1,EA
200000712,10,MZ-FG-C10,10,EA
200000713,10,MZ-FG-E15,1,EA
200000713,20,MZ-FG-R100,7,EA
200000713,30,MZ-FG-C20,5,EA
200000713,40,MZ-TG-Y200,9,EA
200000714,10,TG11,8,EA
200000714,20,MZ-FG-C950,4,EA
200000715,10,MZ-FG-P010,1,EA
200000715,20,MZ-FG-E15,1,EA
200000715,30,MZ-FG-P010,10,EA
200000715,40,MZ-FG-M550,7,EA
200000715,50,M1,2,EA
200000715,60,MZ-TG-A26,2,EA
200000716,10,MZ-FG-M550,3,EA
200000716,20,MZ-FG-E103,7,EA
200000716,30,MZ-FG-C20,1,EA
200000716,40,MZ-TG-Y120,2,EA
200000717,10,CM-FL-V00,2,EA
200000717,20,MZ-TG-Y120,10,EA
200000718,10,M-01,4,EA
200000718,20,FG226,5,EA
200000718,30,MZ-FG-C20,2,EA
200000718,40,MZ-FG-M500,5,EA
200000719,10,MZ-FG-C21,5,EA
200000719,20,MZ-TG-Y240,1,EA
200000720,10,MZ-TG-Y120,4,EA
200000721,10,FG226,8,EA
200000721,20,MZ-FG-E16,3,EA
200000722,10,TG11,10,EA
200000722,20,MZ-TG-E202,6,EA
200000722,30,MZ-TG-A20,9,EA
200000722,40,MZ-TG-A20,3,EA
200000722,50,MZ-FG-E17,5,EA
200000723,10,MZ-FG-C900,7,EA
200000723,20,M-01,5,EA
200000723,30,MZ-TG-Y120,10,EA
200000724,10,MZ-FG-C20,3,EA
200000724,20,MZ-TG-Y120,9,EA
200000724,30,MZ-FG-R200,2,EA
200000724,40,MZ-TG-E202,4,EA
200000724,50,M-01,2,EA
200000724,60,MZ-FG-C950,6,EA
200000725,10,MZ-FG-C950,2,EA
200000725,20,MZ-FG-C900,10,EA
200000725,30,MZ-FG-C10,9,EA
200000725,40,MZ-FG-E17,9,EA
200000725,50,MZ-FG-E108,1,EA
200000726,10,MZ-FG-R100,9,EA
200000726,20,MZ-FG-E15,1,EA
200000726,30,MZ-TG-A20,3,EA
200000726,40,MZ-FG-P010,4,EA
200000726,50,MZ-FG-E103,2,EA
200000727,10,MZ-FG-C900,3,EA
200000727,20,MZ-TG-A20,7,EA
200000727,30,MZ-FG-M500,5,EA
200000727,40,MZ-FG-R300,1,EA
200000727,50,TG11,7,EA
200000727,60,MZ-FG-C10,4,EA
200000728,10,M1,3,EA
200000728,20,MZ-FG-M550,10,EA
200000728,30,MZ-FG-C20,6,EA
200000728,40,MZ-TG-Y200,9,EA
200000729,10,MZ-FG-R100,7,EA
200000729,20,MZ-FG-M500,5,EA
200000729,30,MZ-FG-P010,4,EA
200000729,40,MZ-TG-A25,7,EA
200000730,10,MZ-FG-C20,5,EA
200000731,10,MZ-FG-E15,7,EA
200000731,20,MZ-FG-E102,1,EA
200000731,30,MZ-FG-C950,10,EA
200000731,40,MZ-FG-E102,3,EA
200000731,50,MZ-FG-E17,5,EA
200000732,10,MZ-FG-P010,1,EA
200000732,20,MZ-FG-C20,2,EA
200000732,30,MZ-FG-R200,1,EA
200000732,40,MZ-FG-R100,2,EA
200000732,50,MZ-TG-A27,10,EA
200000732,60,MZ-TG-A27,4,EA
200000733,10,MZ-FG-C10,2,EA
200000733,20,CM-FL-V00,6,EA
200000733,30,MZ-TG-A27,7,EA
200000733,40,MZ-FG-C950,6,EA
200000733,50,MZ-FG-E15,4,EA
200000734,10,MZ-TG-SR01,6,EA
200000734,20,MZ-TG-A27,10,EA
200000734,30,MZ-FG-E103,6,EA
200000735,10,MZ-FG-E101,3,EA
200000735,20,M-01,2,EA
200000735,30,MZ-TG-SR01,10,EA
200000735,40,MZ-TG-A27,4,EA
200000736,10,MZ-FG-P010,2,EA
200000736,20,MZ-FG-P010,6,EA
200000736,30,MZ-FG-R200,10,EA
200000736,40,MZ-FG-C21,5,EA
200000736,50,MZ-FG-E16,8,EA
200000736,60,MZ-FG-E15,1,EA
200000737,10,MZ-TG-Y120,4,EA
200000737,20,MZ-FG-E103,5,EA
200000737,30,MZ-FG-P010,10,EA
200000737,40,MZ-FG-E15,5,EA
200000737,50,MZ-TG-Y200,1,EA
200000738,10,MZ-FG-C21,7,EA
200000738,20,MZ-FG-C20,4,EA
200000739,10,M1,6,EA
200000739,20,MZ-TG-Y200,2,EA
200000739,30,MZ-TG-Y240,8,EA
200000739,40,CM-FL-V00,1,EA
200000739,50,MZ-FG-C900,2,EA
200000740,10,MZ-FG-R100,9,EA
200000740,20,MZ-FG-E15,2,EA
200000740,30,MZ-TG-SR01,2,EA
200000740,40,MZ-FG-E101,6,EA
200000741,10,MZ-TG-Y240,7,EA
200000742,10,MZ-TG-A20,4,EA
200000742,20,MZ-FG-M500,8,EA
200000742,30,MZ-TG-A20,2,EA
200000742,40,MZ-FG-C10,3,EA
200000742,50,MZ-FG-M525,3,EA
200000743,10,MZ-FG-C20,10,EA
200000743,20,MZ-FG-E17,6,EA
200000743,30,MZ-TG-SR01,9,EA
200000743,40,MZ-FG-C20,5,EA
200000743,50,MZ-FG-E16,6,EA
200000743,60,MZ-FG-M500,1,EA
200000744,10,TG11,8,EA
200000744,20,MZ-TG-E202,7,EA
200000744,30,MZ-FG-C20,2,EA
200000744,40,TG11,5,EA
200000745,10,MZ-FG-M500,10,EA
200000745,20,CM-FL-V00,2,EA
200000745,30,MZ-FG-P010,10,EA
200000745,40,MZ-TG-A27,1,EA
200000745,50,M-01,6,EA
200000745,60,MZ-FG-E108,4,EA
200000746,10,CM-FL-V00,1,EA
200000746,20,MZ-FG-M525,8,EA
200000746,30,MZ-FG-R200,10,EA
200000746,40,MZ-FG-E101,1,EA
200000746,50,MZ-FG-E15,2,EA
200000746,60,MZ-FG-E108,1,EA
200000747,10,MZ-FG-R100,2,EA
200000747,20,MZ-TG-Y200,2,EA
200000747,30,M-01,4,EA
200000747,40,MZ-FG-C21,6,EA
200000747,50,MZ-FG-C950,4,EA
200000748,10,MZ-TG-A27,3,EA
200000748,20,MZ-FG-C21,10,EA
200000748,30,MZ-FG-E103,8,EA
200000749,10,MZ-TG-A25,6,EA
200000749,20,MZ-FG-E16,7,EA
200000750,10,MZ-FG-C900,3,EA
200000750,20,MZ-FG-E15,5,EA
200000750,30,MZ-TG-SR01,5,EA
200000750,40,MZ-FG-C900,2,EA
200000751,10,MZ-FG-E15,7,EA
200000751,20,MZ-FG-P010,5,EA
200000751,30,MZ-FG-E15,6,EA
200000751,40,MZ-TG-Y120,3,EA
200000751,50,MZ-FG-R100,10,EA
200000752,10,MZ-FG-C900,6,EA
200000752,20,MZ-FG-E16,9,EA
200000752,30,MZ-TG-A20,10,EA
200000752,40,MZ-FG-C21,7,EA
200000752,50,MZ-FG-R300,7,EA
200000753,10,MZ-FG-C10,1,EA
200000754,10,MZ-TG-SR01,6,EA
200000754,20,MZ-FG-P010,3,EA
200000754,30,MZ-FG-E103,9,EA
200000755,10,MZ-TG-A27,9,EA
200000755,20,MZ-FG-E103,7,EA
200000755,30,MZ-FG-E15,1,EA
200000756,10,MZ-TG-A27,6,EA
200000756,20,MZ-TG-A26,9,EA
200000756,30,MZ-FG-E103,10,EA
200000757,10,M1,6,EA
200000758,10,MZ-FG-C950,8,EA
200000758,20,MZ-FG-R100,1,EA
200000758,30,MZ-TG-A20,5,EA
200000758,40,MZ-FG-M550,8,EA
200000758,50,MZ-FG-P010,9,EA
200000759,10,MZ-FG-R300,5,EA
200000760,10,MZ-TG-Y200,10,EA
200000760,20,MZ-TG-Y120,9,EA
200000760,30,MZ-TG-SR01,6,EA
200000760,40,MZ-FG-E103,7,EA
200000761,10,MZ-FG-R200,5,EA
200000761,20,MZ-FG-C20,8,EA
200000761,30,MZ-FG-R100,9,EA
200000761,40,MZ-FG-C990,7,EA
200000762,10,MZ-FG-E16,8,EA
200000762,20,MZ-FG-C990,9,EA
200000762,30,MZ-FG-C20,1,EA
200000762,40,MZ-FG-C990,6,EA
200000763,10,MZ-TG-E202,9,EA
200000763,20,MZ-FG-E108,9,EA
200000763,30,MZ-TG-Y120,2,EA
200000763,40,MZ-FG-P010,9,EA
200000764,10,MZ-TG-SR01,3,EA
200000764,20,MZ-TG-A25,4,EA
200000764,30,MZ-FG-C20,7,EA
200000764,40,MZ-FG-E16,3,EA
200000765,10,MZ-FG-C900,7,EA
200000765,20,M-01,8,EA
200000765,30,MZ-FG-P010,5,EA
200000765,40,MZ-FG-C21,7,EA
200000765,50,MZ-FG-C21,5,EA
200000765,60,MZ-TG-Y120,1,EA
200000766,10,MZ-FG-C900,7,EA
200000766,20,MZ-FG-E15,6,EA
200000766,30,MZ-TG-A20,1,EA
200000766,40,MZ-TG-A25,10,EA
200000766,50,MZ-FG-P010,1,EA
200000767,10,MZ-TG-E202,6,EA
200000767,20,MZ-FG-C20,1,EA
200000767,30,MZ-FG-R100,9,EA
200000767,40,CM-FL-V00,4,EA
200000768,10,MZ-FG-R300,9,EA
200000768,20,MZ-FG-E102,4,EA
200000769,10,MZ-TG-Y240,9,EA
200000769,20,MZ-TG-A26,1,EA
200000769,30,MZ-FG-C900,7,EA
200000769,40,MZ-FG-C950,6,EA
200000770,10,FG226,3,EA
200000771,10,MZ-FG-E15,5,EA
200000771,20,M-01,6,EA
200000771,30,MZ-FG-C10,7,EA
200000771,40,MZ-FG-E108,2,EA
200000771,50,MZ-FG-E15,4,EA
200000771,60,MZ-FG-E15,3,EA
200000772,10,MZ-FG-E102,1,EA
200000772,20,MZ-TG-SR01,4,EA
200000772,30,MZ-TG-A20,10,EA
200000772,40,MZ-FG-M500,4,EA
200000772,50,MZ-TG-Y240,4,EA
200000773,10,MZ-FG-C10,10,EA
200000773,20,MZ-FG-M525,2,EA
200000773,30,CM-FL-V00,10,EA
200000773,40,MZ-FG-E103,6,EA
200000773,50,MZ-FG-M525,6,EA
200000774,10,FG226,8,EA
200000774,20,MZ-TG-SR01,2,EA
200000774,30,MZ-TG-A20,9,EA
200000774,40,MZ-TG-A25,10,EA
200000774,50,MZ-FG-C990,2,EA
200000775,10,MZ-FG-C10,10,EA
200000775,20,MZ-FG-R100,10,EA
200000775,30,MZ-FG-E15,4,EA
200000776,10,MZ-FG-E102,8,EA
200000776,20,MZ-TG-Y120,8,EA
200000776,30,MZ-FG-R200,9,EA
200000776,40,MZ-FG-R300,7,EA
200000776,50,MZ-FG-C950,9,EA
200000776,60,MZ-FG-E101,8,EA
200000777,10,MZ-TG-Y200,6,EA
200000777,20,MZ-FG-C950,5,EA
200000778,10,MZ-TG-SR01,2,EA
200000778,20,MZ-FG-R300,8,EA
200000778,30,MZ-FG-C20,8,EA
200000778,40,MZ-TG-A26,3,EA
200000779,10,MZ-FG-M550,10,EA
200000779,20,M-01,9,EA
200000780,10,MZ-FG-R200,10,EA
200000781,10,MZ-FG-E101,3,EA
200000781,20,TG11,7,EA
200000781,30,MZ-TG-E202,3,EA
200000781,40,MZ-FG-R300,1,EA
200000781,50,MZ-FG-E102,7,EA
200000781,60,MZ-FG-C990,5,EA
200000782,10,CM-FL-V00,4,EA
200000783,10,MZ-FG-C21,3,EA
200000784,10,MZ-FG-E102,6,EA
200000784,20,MZ-FG-R200,5,EA
200000784,30,MZ-FG-C20,6,EA
200000784,40,MZ-FG-C20,3,EA
200000785,10,MZ-FG-P010,8,EA
200000785,20,MZ-TG-E202,4,EA
200000785,30,MZ-FG-P010,7,EA
200000785,40,MZ-TG-Y240,1,EA
200000785,50,FG226,4,EA
200000785,60,MZ-FG-E102,7,EA
200000786,10,MZ-FG-E101,6,EA
200000786,20,MZ-FG-R100,8,EA
200000786,30,MZ-FG-R200,7,EA
200000786,40,MZ-FG-R100,3,EA
200000786,50,MZ-TG-Y200,7,EA
200000786,60,MZ-FG-E17,3,EA
200000787,10,MZ-TG-SR01,8,EA
200000788,10,FG226,4,EA
200000788,20,MZ-FG-E102,2,EA
200000789,10,MZ-FG-R200,5,EA
200000789,20,MZ-FG-C950,9,EA
200000789,30,MZ-FG-R300,1,EA
200000789,40,MZ-TG-A26,4,EA
200000789,50,MZ-FG-M550,7,EA
200000789,60,MZ-FG-C900,7,EA
200000790,10,MZ-TG-Y200,10,EA
200000790,20,M1,4,EA
200000790,30,MZ-FG-C10,6,EA
200000790,40,MZ-TG-A25,10,EA
200000790,50,M1,10,EA
200000791,10,MZ-FG-E102,4,EA
200000791,20,FG226,6,EA
200000791,30,MZ-TG-E202,10,EA
200000791,40,MZ-FG-R100,7,EA
200000791,50,MZ-FG-E108,9,EA
200000792,10,MZ-TG-A26,3,EA
200000792,20,FG226,3,EA
200000792,30,MZ-FG-E103,8,EA
200000793,10,MZ-FG-P010,3,EA
200000794,10,MZ-FG-E17,2,EA
200000794,20,FG226,4,EA
200000794,30,MZ-FG-C20,3,EA
200000794,40,MZ-FG-C900,1,EA
200000795,10,MZ-FG-C21,7,EA
200000795,20,MZ-FG-C990,1,EA
200000795,30,MZ-FG-C10,6,EA
200000795,40,MZ-TG-A20,2,EA
200000795,50,MZ-FG-E15,10,EA
200000796,10,MZ-FG-E17,9,EA
200000796,20,MZ-FG-C10,7,EA
200000796,30,MZ-FG-E103,5,EA
200000797,10,MZ-FG-M500,6,EA
200000797,20,MZ-FG-R300,5,EA
200000797,30,MZ-FG-C21,3,EA
200000797,40,MZ-TG-Y240,10,EA
200000798,10,MZ-TG-A25,2,EA
200000798,20,MZ-TG-Y120,6,EA
200000798,30,MZ-TG-A20,9,EA
200000798,40,MZ-FG-R300,9,EA
200000798,50,CM-FL-V00,6,EA
200000799,10,MZ-FG-E101,9,EA
200000799,20,MZ-FG-R100,3,EA
200000800,10,MZ-FG-E102,4,EA
200000801,10,MZ-FG-C990,6,EA
200000801,20,MZ-FG-R200,5,EA
200000801,30,MZ-FG-E103,9,EA
200000801,40,MZ-TG-A25,9,EA
200000801,50,MZ-TG-Y240,10,EA
200000801,60,MZ-FG-M550,9,EA
200000802,10,MZ-FG-E108,5,EA
200000802,20,MZ-FG-C10,5,EA
200000802,30,MZ-FG-E103,3,EA
200000803,10,MZ-FG-C950,4,EA
200000803,20,MZ-TG-Y120,6,EA
200000803,30,MZ-FG-M525,4,EA
200000803,40,MZ-TG-A27,8,EA
200000804,10,MZ-FG-E15,4,EA
200000804,20,MZ-FG-C950,4,EA
200000804,30,MZ-FG-C20,6,EA
200000804,40,MZ-FG-C10,10,EA
200000805,10,MZ-TG-A26,3,EA
200000805,20,MZ-TG-Y240,5,EA
200000806,10,MZ-TG-SR01,8,EA
200000806,20,MZ-FG-C900,9,EA
200000806,30,MZ-FG-R200,9,EA
200000806,40,MZ-FG-R300,3,EA
200000806,50,MZ-FG-C990,7,EA
200000806,60,MZ-TG-SR01,3,EA
200000807,10,MZ-FG-E15,6,EA
200000807,20,TG11,4,EA
200000807,30,MZ-FG-C10,3,EA
200000807,40,MZ-FG-C900,6,EA
200000808,10,MZ-FG-C990,8,EA
200000808,20,MZ-FG-C900,7,EA
200000809,10,MZ-FG-C20,8,EA
200000809,20,MZ-TG-A26,4,EA
200000809,30,MZ-FG-E15,8,EA
200000809,40,MZ-TG-A20,10,EA
200000809,50,MZ-TG-Y240,1,EA
200000810,10,MZ-TG-E202,5,EA
200000810,20,CM-FL-V00,1,EA
200000810,30,MZ-FG-E15,5,EA
200000811,10,MZ-FG-R300,4,EA
200000812,10,MZ-FG-P010,10,EA
200000812,20,MZ-FG-P010,8,EA
200000812,30,MZ-TG-A20,8,EA
200000812,40,FG226,7,EA
200000812,50,MZ-FG-E17,2,EA
200000813,10,MZ-TG-Y200,5,EA
200000813,20,MZ-FG-R100,1,EA
200000814,10,MZ-FG-R300,9,EA
200000814,20,MZ-FG-R300,1,EA
200000814,30,MZ-TG-A20,1,EA
200000814,40,MZ-FG-E102,6,EA
200000814,50,MZ-FG-E16,9,EA
200000815,10,MZ-FG-P010,2,EA
200000815,20,MZ-FG-C900,6,EA
200000816,10,MZ-FG-P010,6,EA
200000816,20,MZ-FG-C900,2,EA
200000816,30,MZ-FG-C20,2,EA
200000816,40,M1,9,EA
200000817,10,MZ-TG-A20,1,EA
200000817,20,MZ-FG-C20,8,EA
200000817,30,MZ-FG-E16,9,EA
200000818,10,MZ-FG-M500,8,EA
200000818,20,MZ-FG-C900,6,EA
